Name,Image_url,Price,Description
Mauve Cotton Corduroy Baggy Shorts  ,"['//cdn.shopify.com/s/files/1/0534/2501/2925/products/mauve-cotton-corduroy-baggy-shorts-baggy-shorts-701908.jpg?v=1625990578', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/mauve-cotton-corduroy-baggy-shorts-baggy-shorts-831988.jpg?v=1625990578', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/mauve-cotton-corduroy-baggy-shorts-baggy-shorts-450708.jpg?v=1625990578', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/mauve-cotton-corduroy-baggy-shorts-baggy-shorts-320004.jpg?v=1625990578', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/mauve-cotton-corduroy-baggy-shorts-baggy-shorts-680357.jpg?v=1625990578', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/mauve-cotton-corduroy-baggy-shorts-baggy-shorts-100693.jpg?v=1625990578', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/mauve-cotton-corduroy-baggy-shorts-baggy-shorts-950871.jpg?v=1625990578']","₹3,200","Our artisans craft each piece, exclusively for you. Being handcrafted, every garment is unique.This product can also be worn as a maternity outfit. "
White Hand Beaded Short Cotton Shorts  ,"['//cdn.shopify.com/s/files/1/0534/2501/2925/products/white-hand-beaded-short-shorts-short-shorts-244024.jpg?v=1625990991', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/white-hand-beaded-short-shorts-short-shorts-249070.jpg?v=1625990991', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/white-hand-beaded-short-shorts-short-shorts-128854.jpg?v=1625990991', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/white-hand-beaded-short-shorts-short-shorts-924083.jpg?v=1625990991', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/white-hand-beaded-short-shorts-short-shorts-984262.jpg?v=1625990991']","₹3,020","For days as hot as the sun, our short shorts is perfect. It's a cute pair of white shorts made with breathable cotton in a relaxed silhouette with welt pockets and hand-beading done by our artisans. It keeps you feeling breezy all day, no matter where you go - the beach, brunch, or a day out. Complete the look with a tank top and sneakers.Our artisans craft each piece, exclusively for you. Being handcrafted, every garment is unique. "
Beige Dabu Print Cotton Flared Shorts  ,"['//cdn.shopify.com/s/files/1/0534/2501/2925/products/beige-dabu-print-cotton-flared-shorts-flared-shorts-193530.jpg?v=1625847290', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/beige-dabu-print-cotton-flared-shorts-flared-shorts-131156.jpg?v=1625847290', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/beige-dabu-print-cotton-flared-shorts-flared-shorts-240543.jpg?v=1625847290', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/beige-dabu-print-cotton-flared-shorts-flared-shorts-982308.jpg?v=1625847290', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/beige-dabu-print-cotton-flared-shorts-flared-shorts-140936.jpg?v=1625847290', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/beige-dabu-print-cotton-flared-shorts-flared-shorts-333072.jpg?v=1625847290']","₹3,390","Heading out for brunch in the summer heat? It can't get comfier than our flared shorts. Fully elasticated at the waist for ease of wearing, it is natural-dyed using the hand-lep Dabu technique, which makes it skin-friendly. Complete with spacious slash pockets for all your stuff, pair it up with a white camisole and slide sandals to let your skin breathe.Our artisans craft each piece, exclusively for you. Being handcrafted, every garment is unique. "
Brick Red Block Print Floral Hot Pants  ,"['//cdn.shopify.com/s/files/1/0534/2501/2925/products/brick-red-mid-rise-hot-pants-hot-pants-shorts-329598.jpg?v=1626171553', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/brick-red-mid-rise-hot-pants-hot-pants-shorts-731406.jpg?v=1626171553', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/brick-red-mid-rise-hot-pants-hot-pants-shorts-145244.jpg?v=1626171553', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/brick-red-mid-rise-hot-pants-hot-pants-shorts-287497.jpg?v=1626171553', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/brick-red-mid-rise-hot-pants-hot-pants-shorts-203071.jpg?v=1626171553']","₹2,760","When summer gets too hot to bear, compete it with your hot pants. It has soft cotton fabric, relaxed fit, and inseam pockets to keep you snug. Get out in the sun any day or to a brunch wearing these hot pants with a black top.Our artisans craft each piece, exclusively for you. Being handcrafted, every garment is unique. "
Violet Striped Mangalgiri Cotton Shorts  ,"['//cdn.shopify.com/s/files/1/0534/2501/2925/products/violet-mangalgiri-cotton-short-shorts-short-shorts-603837.jpg?v=1625991042', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/violet-mangalgiri-cotton-short-shorts-short-shorts-544081.jpg?v=1625991042', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/violet-mangalgiri-cotton-short-shorts-short-shorts-111444.jpg?v=1625991042', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/violet-mangalgiri-cotton-short-shorts-short-shorts-273810.jpg?v=1625991042', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/violet-mangalgiri-cotton-short-shorts-short-shorts-948141.jpg?v=1625991042']","₹3,440","Airy and soft, these Mangalgiri cotton shorts are sure to become your favorite this summer. With slash pockets to slide in your essentials, these short shorts feature a half elasticated waist for a comfortable fit. Strike a pose at the beach in these shorts styles with a midriff top and flip-flops.Our artisans craft each piece, exclusively for you. Being handcrafted, every garment is unique. "
Khaki Vegetable Dyed Handspun Short Shorts  ,"['//cdn.shopify.com/s/files/1/0534/2501/2925/products/khakhi-vegetable-dyed-handspun-short-shorts-short-shorts-683178.jpg?v=1626083172', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/khakhi-vegetable-dyed-handspun-short-shorts-short-shorts-974820.jpg?v=1626083172', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/khakhi-vegetable-dyed-handspun-short-shorts-short-shorts-725976.jpg?v=1626083172', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/khakhi-vegetable-dyed-handspun-short-shorts-short-shorts-401467.jpg?v=1626083172', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/khakhi-vegetable-dyed-handspun-short-shorts-short-shorts-346326.jpg?v=1626083172']","₹4,670","For days as hot as the sun, our short shorts are perfect. It's a cute pair of violet shorts made from Mangalgiri cotton, in a relaxed silhouette with patch pockets. It features a fully elasticated waist with an attached belt for a snug fit. These shorts keep you feeling breezy all day, no matter where you go - the beach, brunch, or a day out. Complete the look with an ecru flared camisole and slide sandals.Our artisans craft each piece, exclusively for you. Being handcrafted, every garment is unique. "
Purple Flannel Convertible Pant Shorts  ,"['//cdn.shopify.com/s/files/1/0534/2501/2925/products/WSRT48AShot1.jpg?v=1642053487', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/WSRT48AShot2.jpg?v=1642053487', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/6L3A6320.jpg?v=1642053487', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/6L3A6279.jpg?v=1642053487', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/6L3A6310.jpg?v=1642053487', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/6L3A6297.jpg?v=1642053487', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/6L3A6321.jpg?v=1642053487', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/6L3A6303.jpg?v=1642053487', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/6L3A6323.jpg?v=1642053487', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/6L3A6281---crop-for-pant.jpg?v=1642053487', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/6L3A6300.jpg?v=1642053487', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/6L3A6322.jpg?v=1642053487', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/6L3A6302.jpg?v=1642053479']","₹4,630","Our artisans craft each piece, exclusively for you. Being handcrafted, every garment is unique. We have an array of size and style options in shorts. We offer tall women's shorts and women's petite shorts. Scroll through our range of best plus size shorts."
Black Elasticated Short Cotton Boxers  ,"['//cdn.shopify.com/s/files/1/0534/2501/2925/products/black-elasticated-short-boxers-short-shorts-591242.jpg?v=1625848026', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/black-elasticated-short-boxers-short-shorts-815542.jpg?v=1625848026', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/black-elasticated-short-boxers-short-shorts-596026.jpg?v=1625848026', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/black-elasticated-short-boxers-short-shorts-468377.jpg?v=1625848026', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/black-elasticated-short-boxers-short-shorts-922827.jpg?v=1625848026']","₹2,140","A pair of short black boxers made of breathable cotton, printed in geometric Bagru print, and has pockets. What is more snug and cute? Pair it with a black top, and head out for a run on the beach!Our artisans craft each piece, exclusively for you. Being handcrafted, every garment is unique. "
Melon Orange Handspun Mirror Work Shorts  ,"['//cdn.shopify.com/s/files/1/0534/2501/2925/products/melon-orange-handspun-mirror-work-shorts-straight-shorts-828968.jpg?v=1626279953', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/melon-orange-handspun-mirror-work-shorts-straight-shorts-593333.jpg?v=1626279953', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/melon-orange-handspun-mirror-work-shorts-straight-shorts-712699.jpg?v=1626279953', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/melon-orange-handspun-mirror-work-shorts-straight-shorts-402935.jpg?v=1626279953']","₹2,610","Our artisans craft each piece, exclusively for you. Being handcrafted, every garment is unique. We have an array of size and style options in shorts. We offer tall women's shorts and women's petite shorts. Scroll through our range of best plus size shorts."
Cotton Grey Striped Paperbag Shorts  ,"['//cdn.shopify.com/s/files/1/0534/2501/2925/products/cotton-grey-striped-paperbag-shorts-paperbag-shorts-213255.jpg?v=1625849646', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/cotton-grey-striped-paperbag-shorts-paperbag-shorts-183865.jpg?v=1625849646', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/cotton-grey-striped-paperbag-shorts-paperbag-shorts-875873.jpg?v=1625849646', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/cotton-grey-striped-paperbag-shorts-paperbag-shorts-688935.jpg?v=1625849646', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/cotton-grey-striped-paperbag-shorts-paperbag-shorts-646168.jpg?v=1625849646', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/cotton-grey-striped-paperbag-shorts-paperbag-shorts-981638.jpg?v=1625849646']","₹3,550","Our artisans craft each piece, exclusively for you. Being handcrafted, every garment is unique. We have an array of size and style options in shorts. We offer tall women's shorts and women's petite shorts. Scroll through our range of best plus size shorts."
